
This hub-height turbulence-parameter file was generated by TurbSim (from OpenFAST-v3.5.3) on 04-Jan-2025 at 17:25:25.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
 583.50    9.121    9.121    9.123   -0.023   -0.171    0.021   -0.023   -0.171   -0.004   -0.000    0.004    0.015    0.003
 584.00    9.262    9.264    9.264   -0.200   -0.038    0.162   -0.200   -0.038   -0.006   -0.032    0.008    0.034    0.017
 584.50    9.198    9.200    9.200   -0.192   -0.051    0.098   -0.192   -0.051   -0.005   -0.019    0.010    0.024    0.011
 585.00    8.959    8.959    8.961   -0.034   -0.177   -0.141   -0.034   -0.177    0.025    0.005    0.006    0.026    0.013
 585.50    8.682    8.683    8.686   -0.133   -0.209   -0.418   -0.133   -0.209    0.087    0.056    0.028    0.118    0.054
 586.00    8.652    8.653    8.664   -0.063   -0.435   -0.448   -0.063   -0.435    0.195    0.028    0.028    0.197    0.099
 586.50    8.548    8.548    8.565    0.046   -0.533   -0.552    0.046   -0.533    0.294   -0.025   -0.025    0.295    0.148
 587.00    8.864    8.868    8.880    0.260   -0.464   -0.236    0.260   -0.464    0.109   -0.061   -0.121    0.169    0.087
 587.50    9.203    9.209    9.221    0.336   -0.479    0.103    0.336   -0.479   -0.049    0.035   -0.161    0.177    0.086
 588.00    9.227    9.237    9.239    0.429   -0.188    0.127    0.429   -0.188   -0.024    0.055   -0.081    0.118    0.050
 588.50    9.217    9.237    9.238    0.595   -0.149    0.117    0.595   -0.149   -0.018    0.070   -0.089    0.195    0.057
 589.00    9.167    9.191    9.194    0.661   -0.254    0.067    0.661   -0.254   -0.017    0.044   -0.168    0.253    0.087
 589.50    9.129    9.158    9.159    0.739   -0.101    0.029    0.739   -0.101   -0.003    0.021   -0.075    0.278    0.039
 590.00    9.168    9.194    9.195    0.690   -0.072    0.068    0.690   -0.072   -0.005    0.047   -0.050    0.243    0.034
 590.50    9.112    9.132    9.150    0.601   -0.577    0.012    0.601   -0.577   -0.007    0.007   -0.347    0.347    0.173
 591.00    8.854    8.864    8.881    0.418   -0.558   -0.246    0.418   -0.558    0.137   -0.103   -0.233    0.273    0.145
 591.50    8.943    8.961    8.987    0.554   -0.687   -0.157    0.554   -0.687    0.108   -0.087   -0.381    0.402    0.202
 592.00    8.612    8.622    8.656    0.429   -0.766   -0.488    0.429   -0.766    0.374   -0.210   -0.329    0.505    0.270
 592.50    8.633    8.645    8.656    0.453   -0.438   -0.467    0.453   -0.438    0.205   -0.212   -0.199    0.308    0.178
 593.00    8.869    8.880    8.886    0.437   -0.338   -0.231    0.437   -0.338    0.078   -0.101   -0.148    0.179    0.098
 593.50    8.801    8.812    8.817    0.435   -0.292   -0.299    0.435   -0.292    0.087   -0.130   -0.127    0.182    0.101
 594.00    8.837    8.856    8.857    0.587   -0.125   -0.263    0.587   -0.125    0.033   -0.154   -0.073    0.215    0.087
 594.50    8.637    8.647    8.652    0.425   -0.283   -0.463    0.425   -0.283    0.131   -0.197   -0.120    0.238    0.133
 595.00    8.692    8.692    8.692    0.013   -0.073   -0.408    0.013   -0.073    0.030   -0.005   -0.001    0.086    0.015
 595.50    8.861    8.862    8.862    0.121   -0.052   -0.239    0.121   -0.052    0.013   -0.029   -0.006    0.037    0.016
 596.00    8.822    8.823    8.825   -0.054   -0.207   -0.278   -0.054   -0.207    0.057    0.015    0.011    0.061    0.030
 596.50    8.746    8.749    8.750   -0.220   -0.112   -0.354   -0.220   -0.112    0.040    0.078    0.025    0.093    0.045
 597.00    8.757    8.757    8.758    0.013   -0.149   -0.343    0.013   -0.149    0.051   -0.004   -0.002    0.070    0.026
 597.50    8.963    8.964    8.964   -0.131   -0.029   -0.137   -0.131   -0.029    0.004    0.018    0.004    0.018    0.009
 598.00    9.077    9.077    9.078    0.023   -0.132   -0.023    0.023   -0.132    0.003   -0.001   -0.003    0.009    0.002
 598.50    8.886    8.886    8.895   -0.051   -0.392   -0.214   -0.051   -0.392    0.084    0.011    0.020    0.101    0.044
 599.00    8.979    8.979    8.981    0.012   -0.174   -0.121    0.012   -0.174    0.021   -0.002   -0.002    0.023    0.011
 599.50    9.289    9.294    9.294    0.286   -0.003    0.189    0.286   -0.003   -0.001    0.054   -0.001    0.059    0.027
 600.00    9.472    9.477    9.477    0.320   -0.056    0.372    0.320   -0.056   -0.021    0.119   -0.018    0.122    0.061
 600.50    9.409    9.414    9.421    0.294   -0.374    0.309    0.294   -0.374   -0.116    0.091   -0.110    0.161    0.092
 601.00    9.280    9.292    9.294    0.480   -0.201    0.180    0.480   -0.201   -0.036    0.086   -0.096    0.152    0.067
 601.50    9.209    9.229    9.229    0.610    0.034    0.109    0.610    0.034    0.004    0.067    0.021    0.193    0.035
 602.00    9.171    9.187    9.187    0.547   -0.073    0.071    0.547   -0.073   -0.005    0.039   -0.040    0.155    0.028
 602.50    9.169    9.173    9.174    0.270    0.128    0.069    0.270    0.128    0.009    0.019    0.034    0.047    0.020
 603.00    9.130    9.131    9.132   -0.148    0.106    0.030   -0.148    0.106    0.003   -0.004   -0.016    0.017    0.008
 603.50    9.129    9.129    9.129    0.025    0.024    0.029    0.025    0.024    0.001    0.001    0.001    0.001    0.001
 604.00    9.103    9.109    9.114   -0.347    0.277    0.003   -0.347    0.277    0.001   -0.001   -0.096    0.099    0.048
 604.50    9.193    9.205    9.208   -0.465    0.222    0.093   -0.465    0.222    0.021   -0.043   -0.103    0.137    0.057
 605.00    9.378    9.380    9.380   -0.221    0.075    0.278   -0.221    0.075    0.021   -0.061   -0.017    0.066    0.033
 605.50    9.333    9.336    9.338   -0.272    0.151    0.233   -0.272    0.151    0.035   -0.063   -0.041    0.075    0.042
 606.00    9.309    9.309    9.310   -0.027    0.118    0.209   -0.027    0.118    0.025   -0.006   -0.003    0.029    0.013
 606.50    9.286    9.289    9.294   -0.236    0.291    0.186   -0.236    0.291    0.054   -0.044   -0.069    0.088    0.049
 607.00    9.351    9.351    9.352   -0.042    0.068    0.251   -0.042    0.068    0.017   -0.011   -0.003    0.035    0.010
 607.50    9.716    9.717    9.717   -0.136    0.041    0.616   -0.136    0.041    0.025   -0.083   -0.006    0.200    0.044
 608.00    9.535    9.535    9.536    0.073    0.136    0.435    0.073    0.136    0.059    0.032    0.010    0.106    0.034
 608.50    9.531    9.532    9.532   -0.121    0.022    0.431   -0.121    0.022    0.009   -0.052   -0.003    0.101    0.026
 609.00    9.585    9.589    9.589   -0.258   -0.056    0.485   -0.258   -0.056   -0.027   -0.125    0.014    0.153    0.064
 609.50    9.582    9.589    9.589   -0.355    0.036    0.482   -0.355    0.036    0.017   -0.171   -0.013    0.180    0.086
 610.00    9.666    9.673    9.675   -0.371   -0.146    0.566   -0.371   -0.146   -0.083   -0.210    0.054    0.240    0.116
 610.50    9.587    9.588    9.589   -0.153    0.121    0.487   -0.153    0.121    0.059   -0.075   -0.019    0.138    0.048
 611.00    9.327    9.327    9.327   -0.077    0.014    0.227   -0.077    0.014    0.003   -0.017   -0.001    0.029    0.009
 611.50    9.419    9.421    9.423   -0.196    0.188    0.319   -0.196    0.188    0.060   -0.062   -0.037    0.088    0.047
 612.00    9.358    9.359    9.362   -0.130    0.211    0.258   -0.130    0.211    0.055   -0.034   -0.027    0.064    0.035
 612.50    9.461    9.461    9.461   -0.101   -0.006    0.361   -0.101   -0.006   -0.002   -0.037    0.001    0.070    0.018
 613.00    9.284    9.306    9.306   -0.635    0.050    0.184   -0.635    0.050    0.009   -0.117   -0.032    0.220    0.061
 613.50    9.448    9.451    9.453   -0.237   -0.202    0.348   -0.237   -0.202   -0.070   -0.083    0.048    0.109    0.059
 614.00    9.176    9.176    9.177   -0.029    0.131    0.076   -0.029    0.131    0.010   -0.002   -0.004    0.012    0.005
 614.50    9.296    9.297    9.297   -0.094   -0.015    0.196   -0.094   -0.015   -0.003   -0.018    0.001    0.024    0.009
 615.00    9.496    9.500    9.500   -0.297   -0.042    0.396   -0.297   -0.042   -0.017   -0.118    0.012    0.123    0.060
 615.50    9.384    9.396    9.396   -0.475    0.058    0.284   -0.475    0.058    0.016   -0.135   -0.027    0.155    0.069
 616.00    9.513    9.514    9.514   -0.085    0.066    0.413   -0.085    0.066    0.027   -0.035   -0.006    0.091    0.022
 616.50    9.497    9.497    9.497    0.011    0.024    0.397    0.011    0.024    0.009    0.005    0.000    0.079    0.005
 617.00    9.346    9.346    9.347    0.070    0.065    0.246    0.070    0.065    0.016    0.017    0.005    0.035    0.012
 617.50    9.104    9.105    9.105   -0.030    0.117    0.004   -0.030    0.117    0.001   -0.000   -0.003    0.007    0.002
 618.00    8.889    8.890    8.895   -0.083    0.316   -0.211   -0.083    0.316   -0.067    0.017   -0.026    0.076    0.037
 618.50    8.998    8.999    9.010    0.129    0.452   -0.102    0.129    0.452   -0.046   -0.013    0.058    0.116    0.038
 619.00    8.825    8.829    8.835    0.238    0.336   -0.275    0.238    0.336   -0.092   -0.065    0.080    0.123    0.069
 619.50    8.448    8.452    8.457    0.249    0.306   -0.652    0.249    0.306   -0.199   -0.162    0.076    0.290    0.134
 620.00    8.707    8.708    8.713    0.084    0.292   -0.393    0.084    0.292   -0.115   -0.033    0.025    0.123    0.061
 620.50    8.686    8.687    8.688    0.160    0.104   -0.414    0.160    0.104   -0.043   -0.066    0.017    0.104    0.040
 621.00    8.572    8.573    8.575    0.127    0.176   -0.528    0.127    0.176   -0.093   -0.067    0.022    0.163    0.058
 621.50    8.716    8.721    8.734    0.296    0.463   -0.384    0.296    0.463   -0.178   -0.114    0.137    0.225    0.126
 622.00    8.932    8.937    8.941    0.301    0.257   -0.168    0.301    0.257   -0.043   -0.050    0.077    0.093    0.051
 622.50    8.741    8.746    8.751    0.307    0.294   -0.359    0.307    0.294   -0.106   -0.110    0.090    0.155    0.089
 623.00    8.638    8.639    8.640    0.122    0.174   -0.462    0.122    0.174   -0.080   -0.056    0.021    0.129    0.050
 623.50    8.950    8.950    8.950   -0.037    0.114   -0.150   -0.037    0.114   -0.017    0.005   -0.004    0.018    0.009
 624.00    8.909    8.909    8.909   -0.013    0.089   -0.191   -0.013    0.089   -0.017    0.003   -0.001    0.022    0.009
 624.50    8.843    8.843    8.844    0.027    0.100   -0.257    0.027    0.100   -0.026   -0.007    0.003    0.038    0.013
 625.00    8.965    8.966    8.966    0.152    0.003   -0.135    0.152    0.003   -0.000   -0.021    0.000    0.021    0.010
 625.50    9.031    9.031    9.034    0.040   -0.196   -0.069    0.040   -0.196    0.013   -0.003   -0.008    0.022    0.008
 626.00    8.961    8.971    8.972   -0.428   -0.112   -0.139   -0.428   -0.112    0.016    0.059    0.048    0.108    0.039
 626.50    8.826    8.841    8.841   -0.517   -0.038   -0.274   -0.517   -0.038    0.010    0.142    0.020    0.172    0.072
 627.00    8.903    8.912    8.919   -0.400    0.361   -0.197   -0.400    0.361   -0.071    0.079   -0.144    0.164    0.090
 627.50    8.963    8.966    8.969   -0.237    0.222   -0.137   -0.237    0.222   -0.030    0.032   -0.053    0.062    0.034
 628.00    8.894    8.895    8.896   -0.173    0.084   -0.206   -0.173    0.084   -0.017    0.036   -0.014    0.040    0.021
 628.50    8.913    8.915    8.915   -0.176   -0.055   -0.187   -0.176   -0.055    0.010    0.033    0.010    0.035    0.018
 629.00    8.831    8.836    8.837   -0.282   -0.132   -0.269   -0.282   -0.132    0.035    0.076    0.037    0.085    0.046
 629.50    9.012    9.027    9.027   -0.517   -0.091   -0.088   -0.517   -0.091    0.008    0.046    0.047    0.142    0.033
 630.00    9.147    9.157    9.157   -0.437    0.056    0.047   -0.437    0.056    0.003   -0.020   -0.024    0.098    0.016
 630.50    8.944    8.945    8.949   -0.135    0.273   -0.156   -0.135    0.273   -0.043    0.021   -0.037    0.058    0.030
 631.00    9.012    9.012    9.016   -0.048    0.277   -0.088   -0.048    0.277   -0.024    0.004   -0.013    0.043    0.014
 631.50    8.855    8.856    8.867   -0.140    0.457   -0.245   -0.140    0.457   -0.112    0.034   -0.064    0.144    0.067
 632.00    8.931    8.933    8.951    0.199    0.567   -0.169    0.199    0.567   -0.096   -0.034    0.113    0.195    0.076
 632.50    8.964    8.965    8.971   -0.122    0.345   -0.136   -0.122    0.345   -0.047    0.017   -0.042    0.076    0.033
 633.00    9.013    9.019    9.024   -0.351    0.288   -0.087   -0.351    0.288   -0.025    0.031   -0.101    0.107    0.054
 633.50    9.059    9.068    9.070   -0.388    0.195   -0.041   -0.388    0.195   -0.008    0.016   -0.076    0.095    0.039
 634.00    8.940    8.945    8.945   -0.301    0.009   -0.160   -0.301    0.009   -0.001    0.048   -0.003    0.058    0.024
 634.50    9.065    9.069    9.070   -0.276    0.047   -0.035   -0.276    0.047   -0.002    0.010   -0.013    0.040    0.008
 635.00    9.503    9.509    9.509   -0.319    0.037    0.403   -0.319    0.037    0.015   -0.129   -0.012    0.133    0.065
 635.50    9.688    9.689    9.689   -0.099   -0.058    0.588   -0.099   -0.058   -0.034   -0.058    0.006    0.179    0.034
 636.00    9.661    9.661    9.663   -0.092   -0.152    0.561   -0.092   -0.152   -0.085   -0.051    0.014    0.173    0.050
 636.50    9.419    9.419    9.422   -0.097   -0.209    0.319   -0.097   -0.209   -0.067   -0.031    0.020    0.077    0.038
 637.00    9.534    9.540    9.540   -0.319    0.040    0.434   -0.319    0.040    0.017   -0.138   -0.013    0.146    0.070
 637.50    9.801    9.806    9.806   -0.313   -0.028    0.701   -0.313   -0.028   -0.020   -0.219    0.009    0.295    0.110
 638.00    9.781    9.803    9.803   -0.644    0.009    0.681   -0.644    0.009    0.006   -0.439   -0.006    0.439    0.219
 638.50    9.662    9.678    9.678   -0.560   -0.091    0.562   -0.560   -0.091   -0.051   -0.315    0.051    0.319    0.161
 639.00    9.632    9.644    9.646   -0.474   -0.195    0.532   -0.474   -0.195   -0.104   -0.252    0.092    0.273    0.144
 639.50    9.576    9.592    9.593   -0.560   -0.100    0.476   -0.560   -0.100   -0.048   -0.266    0.056    0.275    0.138
 640.00    9.518    9.539    9.540   -0.631   -0.105    0.418   -0.631   -0.105   -0.044   -0.264    0.066    0.292    0.138
 640.50    9.541    9.550    9.555   -0.425   -0.283    0.441   -0.425   -0.283   -0.125   -0.187    0.120    0.227    0.128
 641.00    9.536    9.549    9.554   -0.493   -0.304    0.436   -0.493   -0.304   -0.133   -0.215    0.150    0.263    0.147
 641.50    9.499    9.508    9.508   -0.411   -0.057    0.399   -0.411   -0.057   -0.023   -0.164    0.023    0.165    0.083
 642.00    9.350    9.351    9.352    0.147   -0.082    0.250    0.147   -0.082   -0.021    0.037   -0.012    0.046    0.022
 642.50    9.435    9.436    9.436    0.142   -0.025    0.335    0.142   -0.025   -0.008    0.048   -0.003    0.067    0.024
 643.00    9.564    9.564    9.567    0.024    0.221    0.464    0.024    0.221    0.102    0.011    0.005    0.132    0.052
 643.50    9.423    9.424    9.424   -0.134    0.007    0.323   -0.134    0.007    0.002   -0.043   -0.001    0.061    0.022
 644.00    9.269    9.270    9.270   -0.115   -0.048    0.169   -0.115   -0.048   -0.008   -0.019    0.006    0.022    0.011
 644.50    9.316    9.323    9.324   -0.380    0.131    0.216   -0.380    0.131    0.028   -0.082   -0.050    0.104    0.050
 645.00    9.377    9.378    9.378   -0.103    0.020    0.277   -0.103    0.020    0.005   -0.029   -0.002    0.044    0.015
 645.50    9.282    9.289    9.293   -0.376   -0.259    0.182   -0.376   -0.259   -0.047   -0.068    0.097    0.121    0.064
 646.00    9.138    9.142    9.157   -0.277   -0.517    0.038   -0.277   -0.517   -0.020   -0.011    0.143    0.173    0.072
 646.50    9.138    9.141    9.146   -0.238   -0.294    0.038   -0.238   -0.294   -0.011   -0.009    0.070    0.072    0.036
 647.00    8.990    8.990    8.994   -0.089   -0.258   -0.110   -0.089   -0.258    0.028    0.010    0.023    0.043    0.019
 647.50    9.096    9.097    9.100   -0.029   -0.253   -0.004   -0.029   -0.253    0.001    0.000    0.007    0.033    0.004
 648.00    9.246    9.247    9.249   -0.146   -0.197    0.146   -0.146   -0.197   -0.029   -0.021    0.029    0.041    0.023
 648.50    9.246    9.246    9.247   -0.115   -0.080    0.146   -0.115   -0.080   -0.012   -0.017    0.009    0.020    0.011
 649.00    9.299    9.300    9.300   -0.149    0.013    0.199   -0.149    0.013    0.002   -0.030   -0.002    0.031    0.015
 649.50    9.345    9.348    9.348    0.244   -0.086    0.245    0.244   -0.086   -0.021    0.060   -0.021    0.063    0.033
 650.00    9.452    9.455    9.455    0.254   -0.094    0.352    0.254   -0.094   -0.033    0.089   -0.024    0.098    0.049
 650.50    9.254    9.260    9.260    0.319   -0.061    0.154    0.319   -0.061   -0.009    0.049   -0.020    0.065    0.027
 651.00    9.304    9.305    9.305    0.098    0.103    0.204    0.098    0.103    0.021    0.020    0.010    0.031    0.015
 651.50    9.104    9.104    9.104    0.034   -0.072    0.004    0.034   -0.072   -0.000    0.000   -0.002    0.003    0.001
 652.00    9.147    9.150    9.152    0.220    0.183    0.047    0.220    0.183    0.009    0.010    0.040    0.042    0.021
 652.50    9.198    9.199    9.213    0.120    0.506    0.098    0.120    0.506    0.050    0.012    0.061    0.140    0.040
 653.00    9.154    9.161    9.163    0.351    0.193    0.054    0.351    0.193    0.010    0.019    0.068    0.082    0.036
 653.50    9.355    9.365    9.368    0.415    0.252    0.255    0.415    0.252    0.064    0.106    0.105    0.151    0.081
 654.00    9.117    9.118    9.119    0.112    0.166    0.017    0.112    0.166    0.003    0.002    0.019    0.020    0.009
 654.50    8.993    8.995    8.995    0.206   -0.064   -0.107    0.206   -0.064    0.007   -0.022   -0.013    0.029    0.013
 655.00    9.006    9.006    9.008    0.085   -0.183   -0.094    0.085   -0.183    0.017   -0.008   -0.015    0.025    0.012
 655.50    9.130    9.130    9.131   -0.036   -0.139    0.030   -0.036   -0.139   -0.004   -0.001    0.005    0.011    0.003
 656.00    9.413    9.413    9.413    0.112   -0.031    0.313    0.112   -0.031   -0.010    0.035   -0.004    0.056    0.018
 656.50    9.536    9.539    9.539    0.225   -0.075    0.436    0.225   -0.075   -0.033    0.098   -0.017    0.123    0.052
 657.00    9.344    9.345    9.345    0.168   -0.003    0.244    0.168   -0.003   -0.001    0.041   -0.001    0.044    0.020
 657.50    9.302    9.310    9.310    0.362    0.057    0.202    0.362    0.057    0.012    0.073    0.021    0.088    0.039
 658.00    9.198    9.203    9.206    0.286   -0.261    0.098    0.286   -0.261   -0.026    0.028   -0.075    0.080    0.042
 658.50    9.144    9.151    9.151    0.362   -0.066    0.044    0.362   -0.066   -0.003    0.016   -0.024    0.069    0.014
 659.00    9.220    9.223    9.225    0.245    0.204    0.120    0.245    0.204    0.025    0.029    0.050    0.058    0.032
 659.50    9.311    9.313    9.316    0.214    0.237    0.211    0.214    0.237    0.050    0.045    0.051    0.073    0.042
