	Windspeed	STDeV	Leq_x	Leq_y	Leq_res
244	18.4	2.5	52075.32997400245	73622.60590928615	65624.83899171336
243	18.4	2.25	58124.24662935131	100366.42034890229	79785.04536058186
247	18.5	1.5	50284.39781969172	78770.09155483768	62301.60846520564
245	18.5	1.0	49658.8341260782	82378.19418386793	61716.9521706205
251	18.5	2.5	53402.791771061144	74132.45469252049	63124.616284855605
250	18.5	2.25	52036.61137903012	101095.50205022536	73604.39686051053
248	18.5	1.75	51548.34125931168	91159.16995319824	67130.5320287558
249	18.5	2.0	50607.89852933798	88596.70669482385	64726.82135494533
246	18.5	1.25	49849.23556204391	94306.8815742092	68215.80248257064
254	18.6	1.5	50405.586208126806	84593.83080913617	63390.6811938513
252	18.6	1.0	54950.92029579795	99534.78360901702	75225.32922581164
258	18.6	2.5	53481.82335462769	79020.63650769785	74324.95571859358
256	18.6	2.0	51025.4961524015	95991.42856655801	65071.06181812948
255	18.6	1.75	51338.38577818227	97744.33135810071	68043.51350295242
253	18.6	1.25	49641.726483254315	72789.95682719255	53165.796679789215
257	18.6	2.25	54341.81259347516	76043.5148257013	65108.074524150405
264	18.7	2.25	53636.28339468746	68183.17012757121	61874.302709234
262	18.7	1.75	51450.992807801114	80377.85165872029	62910.68518578108
260	18.7	1.25	50361.17214705055	74245.44785079347	57205.97710687466
259	18.7	1.0	49130.7604851731	86298.55712385666	63716.50617079412
265	18.7	2.5	53499.74735032113	74734.928661758	63326.23504628128
263	18.7	2.0	55436.193136317954	102988.23662072967	81485.1996309128
261	18.7	1.5	50039.51977477457	92662.92376261312	68901.08585391442
269	18.8	1.75	50903.32590186116	63438.43871975878	56734.669866125485
271	18.8	2.25	54426.46448594113	96680.95406447814	68541.11177110735
266	18.8	1.0	49746.87892481754	89173.02822256484	68479.18026585157
268	18.8	1.5	50626.167955710254	95000.9842121012	72688.7904421478
267	18.8	1.25	49847.17357237175	72878.96895175481	56171.154176143464
272	18.8	2.5	53628.266984298054	79061.76444603538	74012.95987497648
270	18.8	2.0	51973.28809794521	77644.61256064619	58772.87284710362
277	18.9	2.0	53464.44024146431	83232.10242353147	59952.37722020331
278	18.9	2.25	53802.06695847663	75466.14403923201	60978.36011655872
279	18.9	2.5	52385.98824752557	76217.56075834257	65937.7135741655
276	18.9	1.75	50306.30484482613	91319.37186694346	68583.42191879406
274	18.9	1.25	49335.722180186414	87018.08016671338	65483.046765623985
275	18.9	1.5	51678.61455162125	97653.03493713455	72881.63675092893
273	18.9	1.0	50222.36601695958	97929.15694612212	69604.89097797834
285	19.0	2.25	59283.863393051965	108990.76908265322	77095.68146706022
280	19.0	1.0	49450.80834345654	76881.46947547175	60116.01748310985
281	19.0	1.25	50784.44651925831	80463.73416531661	61000.94486681329
286	19.0	2.5	53361.82588578706	76038.77123654375	63864.637434851444
284	19.0	2.0	51879.4942843786	98311.89819854853	66512.54881443897
283	19.0	1.75	50044.10685440098	87946.77397938892	60276.36591370103
282	19.0	1.5	51662.00325116084	103634.55950315094	69088.7098403245
293	19.1	2.5	53856.5532122762	79611.78605903158	73454.10909915845
290	19.1	1.75	50419.52642489469	91438.11419895609	66041.92106699904
292	19.1	2.25	52629.1335768122	95755.89074628665	70618.84509258685
291	19.1	2.0	54556.728550365	113659.1996798092	83190.38188723849
289	19.1	1.5	50151.10346784339	74714.17562866083	63292.79393945929
287	19.1	1.0	49934.66185771273	83091.14528558504	61213.492823929504
288	19.1	1.25	49975.5274741975	95312.86542643217	67477.9830047217
298	19.2	2.0	62564.16587554035	120321.62553407863	84348.77259545
297	19.2	1.75	53390.135208877124	108530.4156636317	77566.34079790884
296	19.2	1.5	49966.019703348975	82876.213945395	65325.66244019044
295	19.2	1.25	50227.74887451262	86258.82668812419	64076.89537887034
294	19.2	1.0	50052.29002962548	84198.669788135	64076.31085849215
299	19.2	2.25	52143.63030361336	85097.12007228141	67286.52862072154
300	19.2	2.5	53391.747782326296	76853.08111182522	64562.67809754795
304	19.3	1.75	51747.0929993563	81215.70754520594	57752.59369054875
307	19.3	2.5	54134.029725987384	79903.77752394717	73303.40628262331
305	19.3	2.0	52155.49299698139	75720.8130276206	59434.31868664492
306	19.3	2.25	54004.206808924304	102023.74204348768	75407.05968594189
303	19.3	1.5	50940.62616937355	80138.04290568006	61164.420638470605
302	19.3	1.25	49578.724189098684	84496.05664421605	61514.833772162994
301	19.3	1.0	49751.47908266176	90459.83151950552	64766.89862363571
314	19.4	2.5	52686.09598140754	78889.49773114649	65999.9596587486
309	19.4	1.25	49819.770086752935	93685.72704557938	65248.80537563483
308	19.4	1.0	49942.82030908409	94725.04641807103	66305.08139231593
312	19.4	2.0	51494.08497599388	92189.34068032613	68008.16393839268
313	19.4	2.25	54052.898261064096	78205.14335649619	58177.230270493244
311	19.4	1.75	51445.51457695191	102150.02279423454	71724.17959627179
310	19.4	1.5	50974.80181959557	82039.33290121518	63089.511973103035
320	19.5	2.25	53276.51452423174	101685.1242971156	75116.71340828273
315	19.5	1.0	49774.965959912006	84337.28410352889	64231.33712623627
