	Windspeed	STDeV	Leq_x	Leq_y	Leq_res
342	19.8	2.5	54147.344721655245	77068.80677208412	65661.8074419376
339	19.8	1.75	50031.43504469543	92551.78073893936	59016.15813641033
336	19.8	1.0	49486.23351065457	92187.99232945038	66448.13897272493
338	19.8	1.5	53410.70356544137	87307.1861980719	62872.19394211597
337	19.8	1.25	50107.06612065901	96489.47082946038	71038.42510350164
340	19.8	2.0	52681.388214738734	100368.54511782448	67444.57725901016
341	19.8	2.25	53590.0601246224	98041.26120363799	68055.66136463011
344	19.9	1.25	49854.9279262329	91489.81480711537	61571.87853142352
343	19.9	1.0	49499.04409909356	106244.84889934334	68107.87823307913
349	19.9	2.5	53701.89056340974	98048.32786624163	73717.5707451917
348	19.9	2.25	52123.04386339027	92128.37985740378	68540.9518331528
346	19.9	1.75	51841.05249824209	79500.01004980954	64175.44437619496
345	19.9	1.5	50146.57784680833	80514.37241530477	60595.63526701105
347	19.9	2.0	53251.35338611523	103550.8186505191	70101.73077977312
350	20.0	1.0	49648.16204671773	84564.09117657787	60643.65453450569
352	20.0	1.5	51028.504212760956	96318.92120475032	67015.12430406405
351	20.0	1.25	50540.903499454005	92361.43436815526	63363.20503624052
355	20.0	2.25	54316.93714607451	103050.90668703693	76901.11086766048
354	20.0	2.0	51124.974889137084	112073.06670022717	72240.87414672862
356	20.0	2.5	53644.56739047884	63691.26612587372	59034.712479052476
353	20.0	1.75	50840.32727367525	98147.07670477396	64798.44059648412
360	20.1	1.75	52030.39518651053	99605.90715156285	72485.19600163211
357	20.1	1.0	49147.191256652986	83599.9956815388	60363.95076349038
359	20.1	1.5	50343.26312583963	84430.52473226069	64775.249883379336
358	20.1	1.25	49520.507798388535	82240.29316748011	61473.29772780029
362	20.1	2.25	59091.520896650676	115029.346019898	80711.89731035083
361	20.1	2.0	54498.114538442576	102274.94804786125	76652.01312660928
363	20.1	2.5	62650.57468127589	124561.22925128824	90148.15786061484
366	20.2	1.5	51797.46179672684	92361.70538827076	60384.70269459427
368	20.2	2.0	52244.62791816218	93117.83664053914	62391.62609811096
367	20.2	1.75	53494.69746010813	78148.99719464178	57528.50625998256
365	20.2	1.25	50237.82827735075	84133.09895616239	60454.188101186955
364	20.2	1.0	49766.34444101827	92634.38757440759	63947.13431059445
370	20.2	2.5	51799.97566143134	110300.68689707678	68268.18503164728
369	20.2	2.25	55272.881418034274	89062.74884970428	58932.16441680256
372	20.3	1.25	51675.77963989679	91649.51471531852	63492.2261126877
373	20.3	1.5	50915.15351929605	88823.16241264394	62963.66791052169
376	20.3	2.25	53751.587860915264	94432.00987627397	68242.32001913243
375	20.3	2.0	58154.66937054494	116783.36462976543	81531.43566252384
377	20.3	2.5	54484.36477293449	81076.18157920676	67255.1134535541
374	20.3	1.75	51882.59046693192	82324.64608112951	61304.92739260145
371	20.3	1.0	49750.38605234666	94328.48746157887	62679.22744109909
383	20.4	2.25	54305.33112918174	102905.8890492708	71030.81990712778
382	20.4	2.0	52173.678715495946	72347.04305796172	62594.70675067539
381	20.4	1.75	51162.194720571824	76390.01515909591	58739.07025593966
384	20.4	2.5	54331.35765223165	99833.81170593486	73731.12489317406
379	20.4	1.25	50732.73917921644	92086.32812132484	62498.07037945436
378	20.4	1.0	49359.84595497445	92881.5913382086	68403.04818135219
380	20.4	1.5	50542.154792320434	90137.25506823485	60509.974043351525
387	20.5	1.5	51601.49161133907	98238.36541964275	65586.92466130477
386	20.5	1.25	53663.98723243968	109903.86877307249	74824.75276815213
388	20.5	1.75	51271.67452034434	96957.43852712912	71510.35419188677
385	20.5	1.0	49576.559815170425	93995.14800228225	66516.44444325833
390	20.5	2.25	53813.25306842509	98687.58495260822	73359.08648557487
389	20.5	2.0	53259.434083243075	84340.50049469572	61003.35444366284
391	20.5	2.5	54166.958751700535	65415.34482508841	59269.90555260286
392	20.6	1.0	51634.528239497784	111070.17559041551	72045.06394859588
